,id,overall_sent,time_period_labour,time_period_conservatives
1616604,1173574423867211782,-1,2,1
4456082,1180172951053832198,-1,1,4
1179196,1172492818662641664,-1,1,1
3624263,1178420011670605825,-2,1,3
2858659,1176672290525892609,1,4,2
2194888,1174955253201981441,0,3,1
4772108,1180952965911330816,0,1,1
1070423,1172258564750086150,3,1,1
817944,1171878214194597895,2,1,1
574752,1171403211921600512,-1,1,1
1522470,1173322897663901696,2,2,1
3855457,1178968729679478786,-1,1,3
3888335,1179035884059938817,-1,1,3
3894452,1179052973642702848,-3,1,3
2350870,1175444341403344899,-1,3,1
3646512,1178519902971400192,1,1,3
246801,1171004293299757056,1,1,1
2416925,1175691582479175680,0,3,1
1287187,1172775189026938881,0,1,1
660519,1171562335300915205,1,1,1
246443,1171003994157830145,1,1,1
1901559,1174233549957992449,-1,1,1
2369594,1175500662513242113,0,3,1
1421740,1173126834055241728,2,2,1
2422452,1175699471537188864,0,3,1
515677,1171333639570894850,-1,1,1
2688511,1176417013377523712,-1,4,1
2279535,1175170217342902273,0,3,1
460942,1171202836543299585,-1,1,1
3931197,1179132141663334401,-2,1,3
628984,1171499948212285441,0,1,1
2508240,1175999398142197761,0,1,1
2608534,1176191285377536000,0,1,1
1280639,1172765712215154688,3,1,1
849201,1171908554728431616,0,1,1
3636210,1178442442842034177,-1,1,3
2179977,1174930693811400704,-1,3,1
2029647,1174495539758391296,0,3,1
2299435,1175305259306143745,-1,3,1
2796549,1176556913036791809,0,4,1
2830474,1176603661360934913,0,4,1
460606,1171202318999740417,-1,1,1
2931717,1176825428348006400,-1,4,2
731467,1171737391696175105,0,1,1
1477797,1173229745343012864,1,2,1
1403645,1173008516728184833,-2,1,1
844718,1171904111756947457,1,1,1
4404393,1180071104712515584,-1,1,4
1433081,1173147628437221376,-2,2,1
3010327,1176973314264371202,-2,4,2
3890761,1179042726014308352,-1,1,3
1993034,1174394624514936832,1,1,1
1985153,1174378528571367424,1,1,1
3626516,1178423921747595264,0,1,3
1137208,1172432615678214147,1,1,1
1502754,1173285556865970176,0,2,1
674049,1171659921399734272,-1,1,1
1796552,1173964955982467072,-2,2,1
4045487,1179420730003529734,-2,1,1
4041318,1179414134263336960,-1,1,1
2265992,1175131062843957248,0,3,1
1877288,1174202860302680065,0,1,1
515974,1171333934275276801,-1,1,1
599914,1171441919739609091,-1,1,1
4137250,1179566143973007360,-1,1,4
1245879,1172623640044740608,-1,1,1
2303160,1175313447019585536,-2,3,1
2775849,1176527884040716290,-1,4,1
571796,1171399625573568512,1,1,1
2329576,1175365704469700608,0,3,1
1896915,1174228372563644424,0,1,1
1546232,1173372482872586241,-2,2,1
895256,1172040790073315329,0,1,1
3853946,1178962425296621575,0,1,3
2083434,1174652058474934272,-3,3,1
4579418,1180517976971366400,-1,1,4
2453842,1175767033704779777,-1,3,1
702302,1171698626000805893,1,1,1
1132682,1172423616153051140,0,1,1
1225152,1172588061940703237,-1,1,1
3550612,1178257849325166592,-1,1,3
1457239,1173188287663468544,2,2,1
2432989,1175717050083368962,0,3,1
597953,1171438787559219202,-2,1,1
2239563,1175051647850098688,0,3,1
2021886,1174452186975277056,0,1,1
651255,1171541779419672576,0,1,1
851559,1171911018034925570,1,1,1
2923872,1176812199773425664,0,4,2
286799,1171034863685779456,-1,1,1
4391212,1180048014825738240,-2,1,4
2160452,1174816759179878400,-1,3,1
1708082,1173722056346746881,0,2,1
2454548,1175769185823154176,2,3,1
4071648,1179456801353408513,-2,1,1
2781642,1176536494464536577,-1,4,1
310449,1171054965256704007,-2,1,1
2519958,1176027231174496256,-3,1,1
4043485,1179417529942528000,0,1,1
3876295,1179008087585443840,-1,1,3
2822662,1176592962198941707,-2,4,1
2341029,1175402963113861120,1,3,1
2384767,1175536655127719937,-2,3,1
1385401,1172966845193818114,-2,1,1
4062451,1179445568336273408,1,1,1
4718913,1180846037818327040,-2,1,1
4213775,1179716484844658689,-4,1,4
3183847,1177335934502805507,1,4,2
3959801,1179213367455764481,1,1,1
3961906,1179243848838594561,-2,1,1
2625708,1176217757395955717,1,1,1
1041518,1172222755405778961,-3,1,1
1266828,1172703634624266241,-1,1,1
2374065,1175511072008101888,-1,3,1
2646938,1176263490820026368,0,1,1
1898154,1174229694067159040,-1,1,1
2623750,1176214795219099648,-1,1,1
3626812,1178424376405958662,-1,1,3
787491,1171840748448309248,-1,1,1
1873318,1174190964728041472,-1,1,1
1442252,1173162143488925696,-2,2,1
1971196,1174347718388568066,0,1,1
2359246,1175473359351681024,0,3,1
171412,1170928543037120514,0,1,1
4069418,1179454047495102466,0,1,1
4054095,1179435811533668353,1,1,1
3078862,1177143506223149058,0,4,2
4778974,1180965030633902080,-2,1,1
212200,1170975435863265280,-2,1,1
2631163,1176226489085378571,0,1,1
4035292,1179404209072017409,-1,1,1
691547,1171686072771891200,0,1,1
2609653,1176193026277986304,-1,1,1
2130693,1174758575643791360,-2,3,1
2030005,1174500249790013441,1,3,1
3884908,1179027000863924224,-1,1,3
198157,1170963333370892288,-2,1,1
3887988,1179035087712555015,-1,1,3
4664817,1180759462879125505,0,1,1
2610994,1176195135761256455,0,1,1
1493237,1173265292992143360,1,2,1
2200495,1174963693064355842,0,3,1
2630960,1176226124076081153,0,1,1
2926108,1176816101457649670,-2,4,2
2395233,1175614939215597568,1,3,1
3404022,1177929720803008514,-3,1,1
2313824,1175331207569125378,0,3,1
625332,1171488423359606784,0,1,1
3344874,1177827022065852417,-1,1,1
1706677,1173719602322427904,1,2,1
3330827,1177721465355079680,0,1,2
3883164,1179022963947036672,-1,1,3
1826389,1174032624899284994,0,2,1
3009758,1176972651954364418,-1,4,2
2940239,1176841620853022720,-2,4,2
1492998,1173264765604519936,1,2,1
4471219,1180203701534941186,1,1,4
1956115,1174310960909230081,1,1,1
2824302,1176595260841058307,-2,4,1
951641,1172095014828068864,0,1,1
963563,1172109078769782785,1,1,1
1907325,1174242807126593538,0,1,1
850373,1171909737673318401,2,1,1
647621,1171535894802644992,0,1,1
775180,1171819584925687811,-1,1,1
3551191,1178259355424219136,-1,1,3
4643191,1180687195012599809,-1,1,1
640958,1171523987530059777,0,1,1
4776788,1180960846786248704,0,1,1
625004,1171487411995414528,-1,1,1
3733733,1178692141645799424,-1,1,3
1683444,1173686889410420737,-1,2,1
1945908,1174293431839055875,-2,1,1
1121051,1172406618320846848,-1,1,1
3713253,1178647131416084480,1,1,3
1233904,1172605458785472514,-1,1,1
3810388,1178840539044683776,0,1,3
2482697,1175862681984786432,-1,3,1
2097522,1174682145807380480,0,3,1
3802855,1178805795078713344,-1,1,3
2419581,1175695414433079296,0,3,1
3906514,1179083138405994497,-1,1,3
2315776,1175334644155408384,-2,3,1
777439,1171823712536080386,1,1,1
2280708,1175173863971467264,0,3,1
2641607,1176245257610104833,-1,1,1
2930388,1176823229975056385,-3,4,2
381474,1171122065417625606,-2,1,1
2589000,1176150001451487232,2,1,1
685221,1171678518201266177,-1,1,1
3988407,1179326271941222402,0,1,1
3072295,1177135613927202816,-3,4,2
4300841,1179842249586143232,0,1,4
683901,1171676881902551045,-1,1,1
667377,1171609912356540416,-1,1,1
